ACADEMIC_YEAR,STATE_CODE,STATE_NAME,DISTRICT_CODE,DISTRICT_NAME,BLOCK_CODE,UDISE_BLOCK_NAME,LOCATION,SCHOOL_CATEGORY_ID,SCHOOL_CATEGORY_NAME,SCHOOL_MANAGEMENT_ID,SCHOOL_MANAGEMENT_NAME,TOTAL_NUMBER_OF_SCHOOLS,,BOUNDARY_WALL,SINGLE_CLASS_ROOM,SEPARATE_ROOM_FOR_HEADMASTER,LAND_AVAILABLE,ELECTRICITY,FUNCTIONAL_ELECTRICITY,SOLAR_PANEL,FURNITURE,PLAYGROUND,LIBRARY_OR_READING_CORNER_OR_BOOK_BANK,LIBRARIAN,NEWSPAPER,KITCHEN_GARDEN,BOY_TOILET,FUNCTIONAL_BOY_TOILET,GIRL_TOILET,FUNCTIONAL_GIRL_TOILET,TOILET_FACILITY,FUNCTIONAL_TOILET_FACILITY,FUNCTIONAL_URINAL_BOY,FUNCTIONAL_URINAL_GIRL,FUNCTIONAL_URINAL,FUNCTIONAL_TOILET_AND_URINAL,DRINKING_WATER,FUNCTIONAL_DRINKING_WATER,WATER_PURIFIER,RAIN_WATER_HARVESTING,WATER_TESTED,HANDWASH,INCINERATOR,WASH_FACILITY_DRINKING_WATER_TOILET_AND_HANDWASH,RAMPS,MEDICAL_CHECKUP,COMPLETE_MEDICAL_CHECKUP,INTERNET,COMPUTER_AVAILABLE
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Rural,5,HSS (VIXII),5,Private Unaided (Recognized),1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,,1,1,1,1,,1,,0,,1,1,,0,0,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Rural,7,SS (VIX),5,Private Unaided (Recognized),4,4,4,0,3,4,,4,2,0,3,4,0,1,0,4,4,4,4,4,,4,4,4,4,,4,,2,,4,1,,2,2,2,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Rural,8,SS (IXX),1,Department of Education,4,3,1,0,3,3,,1,,0,2,3,0,0,0,4,4,4,4,4,,3,3,3,3,,4,,0,1,2,0,,0,4,4,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Rural,8,SS (IXX),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,0,0,1,1,1,,1,1,1,1,1,1,,,1,1,1,,1,,0,0,1,1,,1,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Rural,10,HSS (IXXII),4,Government Aided,1,1,1,0,0,1,1,1,1,0,1,,0,1,0,1,1,1,1,1,,1,1,1,1,,1,,0,0,1,0,,,0,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Rural,10,HSS (IXXII),5,Private Unaided (Recognized),7,,7,0,7,7,,7,3,0,7,7,,7,1,6,6,7,7,7,,6,7,7,7,,7,,1,1,7,5,,,2,2,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Urban,1,PS (IV),1,Department of Education,4,4,2,0,2,2,,3,1,0,,4,,3,,2,2,3,3,3,,2,3,3,3,,3,,0,0,3,0,,3,4,4,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Urban,1,PS (IV),98,Madarsa unrecognized,1,1,1,0,0,0,,1,1,0,0,1,,0,,1,1,1,1,1,,1,1,1,1,,1,,0,0,1,0,,0,1,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Urban,2,UPS (IVIII),5,Private Unaided (Recognized),2,2,2,0,2,2,2,2,0,0,1,2,,1,,2,2,2,2,2,2,2,2,2,2,,2,,1,1,2,1,,1,0,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Urban,5,HSS (VIXII),1,Department of Education,1,1,1,0,1,1,1,1,1,0,1,,,1,,,0,1,1,1,1,0,1,1,1,,1,,0,1,1,0,,,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Urban,5,HSS (VIXII),4,Government Aided,1,1,1,0,1,1,1,1,0,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,0,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96607,BARAHANI,Urban,8,SS (IXX),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,0,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,,0,0,1,1,,,0,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,1,PS (IV),1,Department of Education,79,79,69,0,63,45,77,78,2,0,45,77,,23,,76,76,77,76,78,78,55,55,57,57,79,79,,5,10,76,0,,73,69,63,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,1,PS (IV),5,Private Unaided (Recognized),49,49,45,0,48,39,49,49,3,0,42,34,,,,49,49,49,49,49,,44,44,44,44,49,49,,12,14,48,0,,,32,18,13,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,1,PS (IV),97,Madarsa recognized (by Wakf board/Madarsa Board) ,15,14,15,0,10,7,15,,2,0,7,13,,15,,15,15,15,15,15,,13,13,13,13,15,15,,1,1,15,0,,11,10,0,2,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,1,PS (IV),98,Madarsa unrecognized,1,1,1,0,1,0,1,1,0,0,1,0,,1,,1,1,1,1,1,,0,0,0,0,,1,,1,,1,0,,,1,0,1,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,2,UPS (IVIII),1,Department of Education,30,30,23,0,30,16,30,30,1,0,,30,,7,,30,30,30,30,30,,29,30,30,30,,30,,0,,30,15,,26,29,27,0,3
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,2,UPS (IVIII),5,Private Unaided (Recognized),27,27,25,0,26,21,27,27,3,1,23,20,,15,,27,27,,27,27,,25,24,25,25,,27,,9,,25,13,,16,17,9,7,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,2,UPS (IVIII),97,Madarsa recognized (by Wakf board/Madarsa Board) ,3,3,3,0,2,2,,3,0,0,2,1,,1,,3,3,3,3,3,,2,2,2,2,,3,,0,,3,1,,,3,1,0,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,2,UPS (IVIII),98,Madarsa unrecognized,1,1,1,0,1,1,1,1,0,0,1,1,,1,,1,1,0,0,1,,1,0,1,1,,1,,1,,1,0,,1,1,0,1,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,3,HSS (IXII),5,Private Unaided (Recognized),3,3,3,0,3,3,,3,,0,3,3,,3,,3,3,3,3,3,,3,3,3,3,,3,,2,,3,3,,,3,0,3,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,3,HSS (IXII),97,Madarsa recognized (by Wakf board/Madarsa Board) ,2,2,2,0,2,2,,2,1,0,0,2,,2,,2,2,2,2,2,,2,2,2,2,,2,,1,,2,0,,,2,0,2,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,4,UPS (VIVIII),1,Department of Education,19,19,14,0,17,13,18,19,0,0,14,,,,,,17,19,19,19,,,10,13,13,,19,,3,,19,9,,,18,15,0,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,4,UPS (VIVIII),4,Government Aided,2,,2,0,2,,2,2,0,0,,,,2,,2,2,2,2,2,,1,1,1,1,,2,,1,,2,0,,,2,1,0,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,4,UPS (VIVIII),5,Private Unaided (Recognized),14,14,13,0,14,12,,14,1,0,11,10,,11,,14,14,14,14,14,,14,14,14,14,,14,,3,,14,3,14,,8,4,4,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,5,HSS (VIXII),5,Private Unaided (Recognized),6,6,6,0,4,5,,6,1,0,5,5,,4,,6,6,6,6,6,,6,6,6,6,,6,2,1,,6,4,6,0,3,2,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,6,SS (IX),5,Private Unaided (Recognized),4,4,4,0,4,4,,4,1,0,4,4,,4,,4,4,4,4,4,,4,4,4,4,,4,3,3,,4,2,4,0,4,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,6,SS (IX),97,Madarsa recognized (by Wakf board/Madarsa Board) ,6,5,6,0,6,4,,6,1,0,3,5,,6,,6,6,6,6,6,,5,5,5,5,,6,0,2,,6,2,6,5,5,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,6,SS (IX),98,Madarsa unrecognized,1,1,1,0,1,1,,1,0,0,1,1,,1,,1,1,1,1,1,,1,1,1,1,,1,0,1,,1,1,1,,1,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,7,SS (VIX),4,Government Aided,2,2,2,0,2,2,,2,2,0,2,0,,1,,2,2,2,2,2,,2,2,2,2,,2,0,0,,2,1,2,1,1,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,7,SS (VIX),5,Private Unaided (Recognized),12,12,12,0,10,10,,,0,0,,9,,9,,12,12,12,12,12,,12,12,12,12,,12,4,4,,12,7,12,,8,3,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,8,SS (IXX),5,Private Unaided (Recognized),4,4,4,0,4,3,,4,0,0,4,3,,4,,4,4,4,4,4,,4,4,4,4,,4,0,0,,3,1,3,2,4,2,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Rural,10,HSS (IXXII),5,Private Unaided (Recognized),5,5,5,0,5,5,,5,3,0,5,4,,5,,5,5,5,5,5,,5,5,5,5,,5,2,2,,5,3,5,2,3,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Urban,1,PS (IV),1,Department of Education,1,1,1,0,1,1,,1,0,0,1,1,,0,,1,1,1,1,1,,1,1,1,1,,1,0,0,,1,0,1,,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Urban,1,PS (IV),5,Private Unaided (Recognized),3,3,3,0,3,0,,3,1,0,2,3,,,,3,3,3,3,3,,,3,3,3,,3,1,1,,3,0,3,0,2,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Urban,1,PS (IV),98,Madarsa unrecognized,1,,1,0,1,0,,1,0,0,0,1,,1,,1,1,1,1,1,,1,1,1,1,,1,0,0,,1,0,1,,1,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Urban,2,UPS (IVIII),1,Department of Education,1,1,1,0,1,0,,1,0,0,0,,,0,,1,1,1,1,1,,0,1,1,1,,1,0,0,,1,1,1,,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Urban,2,UPS (IVIII),5,Private Unaided (Recognized),2,2,2,0,2,0,2,2,0,0,2,2,,1,,2,2,2,2,2,,2,2,2,2,,2,0,2,,2,0,2,1,2,2,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Urban,3,HSS (IXII),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,1,0,1,1,,1,,1,1,1,1,1,,1,1,1,1,,1,0,0,,1,0,1,0,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96608,NIYAMATABAD,Urban,10,HSS (IXXII),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,0,0,1,1,,1,,1,1,1,1,1,,1,1,1,1,,1,1,0,,1,0,1,,1,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,1,PS (IV),1,Department of Education,70,70,56,0,63,44,53,59,2,0,39,50,,17,,70,69,70,70,70,,25,25,26,26,,70,0,0,,62,0,62,53,58,52,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,1,PS (IV),5,Private Unaided (Recognized),6,6,3,0,6,6,3,3,0,0,6,5,,5,,6,6,,6,6,,4,4,4,4,,3,0,0,,5,0,5,2,4,3,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,2,UPS (IVIII),1,Department of Education,24,24,17,0,24,19,17,17,0,0,18,,,8,,,24,24,24,24,24,16,16,16,16,,24,0,0,,21,9,21,,24,24,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,2,UPS (IVIII),5,Private Unaided (Recognized),2,2,1,0,2,2,1,1,0,0,1,1,,2,,2,2,2,2,2,2,1,1,1,1,2,2,0,0,,2,0,2,,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,4,UPS (VIVIII),1,Department of Education,23,22,14,0,21,19,13,15,1,0,13,16,,11,,21,21,23,23,23,23,9,9,10,10,23,23,,1,,22,4,22,15,22,20,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,4,UPS (VIVIII),5,Private Unaided (Recognized),1,1,1,0,1,1,,1,0,0,0,1,,0,,1,1,1,1,1,1,,1,1,1,1,1,,0,,0,0,0,,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,5,HSS (VIXII),1,Department of Education,1,1,0,0,1,1,,1,0,0,1,0,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,0,,1,0,1,,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,5,HSS (VIXII),4,Government Aided,1,1,0,0,1,1,,1,1,0,,1,,1,,1,1,1,1,1,1,0,0,0,0,1,1,,0,,1,0,1,1,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,5,HSS (VIXII),5,Private Unaided (Recognized),1,1,1,0,1,1,,1,1,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,0,,1,0,1,0,0,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,6,SS (IX),97,Madarsa recognized (by Wakf board/Madarsa Board) ,1,1,1,0,1,0,,1,0,0,0,1,,1,,1,1,1,1,1,,1,1,1,1,,1,,0,,1,0,1,,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,7,SS (VIX),5,Private Unaided (Recognized),2,2,2,0,2,,,0,0,0,2,0,,1,,2,1,2,1,2,,0,0,0,0,,2,,0,,2,0,,,0,0,1,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,8,SS (IXX),1,Department of Education,6,5,3,0,5,3,1,,1,0,5,3,,2,,4,4,6,6,6,,3,5,5,5,,5,,0,,5,1,,,6,6,0,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,8,SS (IXX),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,,0,1,1,,1,,1,1,1,1,1,,0,0,0,0,,1,,0,,1,0,,1,1,0,0,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Rural,10,HSS (IXXII),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,0,0,1,1,,,,1,1,1,1,1,,1,1,1,1,,1,,0,,1,0,,0,0,0,0,
201920,9,Uttar Pradesh,966,CHANDAULI,96609,NAUGARH,Urban,4,UPS (VIVIII),1,Department of Education,1,1,0,0,1,1,1,1,0,0,0,1,,0,,,1,1,1,1,,0,0,0,0,,1,,0,,1,1,,1,1,1,0,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Rural,3,HSS (IXII),5,Private Unaided (Recognized),1,1,1,0,1,1,1,1,0,0,1,,,1,,1,1,1,1,1,,1,1,1,1,,1,,0,,1,0,,,1,0,1,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,1,PS (IV),1,Department of Education,7,7,6,0,6,3,7,7,1,0,3,7,,2,,7,7,7,7,7,,6,6,6,6,,7,,1,,5,0,,,5,4,0,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,1,PS (IV),2,Tribal Welfare Department,1,1,0,0,0,0,,1,0,0,0,0,,0,,1,1,1,1,1,,1,1,1,1,,1,,0,,1,0,,0,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,1,PS (IV),5,Private Unaided (Recognized),31,31,30,0,30,22,31,31,0,0,23,15,,18,,31,31,31,31,31,,30,29,30,30,,31,,5,,25,0,,10,19,19,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,2,UPS (IVIII),1,Department of Education,2,2,2,0,2,0,,2,0,0,1,2,,1,,2,2,2,2,2,,,2,2,2,,2,,0,,2,0,,,2,2,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,2,UPS (IVIII),4,Government Aided,1,1,1,0,1,1,1,1,0,0,1,0,,1,,1,1,1,1,1,,1,1,1,1,,1,,0,,1,0,,,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,2,UPS (IVIII),5,Private Unaided (Recognized),11,11,11,0,10,6,,11,3,0,6,10,,8,,11,11,11,11,11,,11,11,11,11,,11,,2,,10,7,,,7,6,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,3,HSS (IXII),4,Government Aided,2,,2,0,2,2,,2,0,0,,2,,2,,0,0,2,2,2,,0,1,1,1,,2,,0,,2,0,,,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,3,HSS (IXII),5,Private Unaided (Recognized),1,1,1,0,1,0,,1,0,0,1,1,,1,,1,1,1,1,1,,0,0,0,0,,1,,0,,1,0,,,1,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,3,HSS (IXII),92,Kendriya Vidyalaya / Central School,1,1,1,0,1,1,,1,0,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,,0,,1,0,,,1,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,4,UPS (VIVIII),1,Department of Education,1,1,1,0,1,1,,1,0,0,0,1,,0,,0,0,1,1,1,1,0,1,1,1,,1,,0,,1,1,,,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,4,UPS (VIVIII),4,Government Aided,3,3,1,0,3,3,3,3,0,0,2,1,,2,,,3,,3,3,3,3,3,3,3,,3,,0,,2,0,,2,1,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,4,UPS (VIVIII),5,Private Unaided (Recognized),12,12,11,0,12,9,,12,0,0,11,10,,7,,12,12,12,12,12,,,11,11,11,,12,,0,,9,7,,6,9,8,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,5,HSS (VIXII),4,Government Aided,2,2,2,0,2,0,,,2,0,1,2,,1,,2,2,2,2,2,2,2,2,2,2,,2,,0,,2,1,,1,2,1,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,5,HSS (VIXII),95,Railway School,1,1,1,0,1,1,,1,0,0,,1,,,,1,1,1,1,1,1,1,1,1,1,,1,,0,,1,1,,,1,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,6,SS (IX),98,Madarsa unrecognized,1,1,1,0,1,1,1,1,0,0,0,0,,0,,1,1,1,1,1,1,1,1,1,1,,1,,0,,1,1,1,,0,0,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,7,SS (VIX),5,Private Unaided (Recognized),2,2,2,0,1,1,2,2,1,0,1,2,2,2,,2,2,2,2,2,2,2,2,2,2,,2,,0,,2,1,2,,2,2,,
201920,9,Uttar Pradesh,966,CHANDAULI,96610,MUGALSARAI (NAGAR CHHETRA),Urban,8,SS (IXX),5,Private Unaided (Recognized),2,2,2,0,2,2,2,2,1,0,2,1,0,2,,2,2,2,2,2,2,2,2,2,2,,2,,0,,2,1,2,,1,0,,1
